idx,mean_iou,best_iou,mse,accuracy,diversity,coverage
7649,0.7872551878145011,0.9425002103137882,0.06735148280858994,0.93292236328125,0.20312765,0.20655823
16452,0.8865003872552588,0.9509069857197993,0.05294744297862053,0.9564666748046875,0.11625589,0.12950134
11719,0.5438867336291682,0.6790410922657635,0.1543603390455246,0.78131103515625,0.25983995,0.0980072
8153,0.6913164878876522,0.7816119190782264,0.11070620268583298,0.8292083740234375,0.1503402,0.17811584
7859,0.4283281186138761,0.5527144549420704,0.17276179790496826,0.763946533203125,0.27119792,0.05368042
13595,0.6024898055055697,0.9660381968481492,0.11917820572853088,0.8174591064453125,0.23977913,0.18904114
2696,0.7105415252753311,0.9261379722545534,0.08842115104198456,0.920135498046875,0.20100525,0.23640442
5696,0.4538830461171647,0.6079822322405277,0.17065222561359406,0.7545013427734375,0.25189137,0.05758667
2884,0.264679789153772,0.2992323796231682,0.21579478681087494,0.6748504638671875,0.28380758,0.064193726
12506,0.5300261713460875,0.7185083762886598,0.16481909155845642,0.7427215576171875,0.23097536,0.10348511
3183,0.3280192955458747,0.43810924684001895,0.23904742300510406,0.59857177734375,0.28534183,0.057556152
8696,0.65232924387243,0.7238490364025696,0.10454510897397995,0.8618011474609375,0.20944044,0.09111023
7543,0.6001637220931589,0.8061974789915967,0.120469830930233,0.875152587890625,0.20033403,0.17141724
14352,0.7259333860550183,0.812577479338843,0.0871371403336525,0.878509521484375,0.18127578,0.17843628
6477,0.6829197847068729,0.8543274634694642,0.09452202916145325,0.85162353515625,0.25427935,0.10760498
12150,0.649966506522554,0.7441136859703711,0.11445483565330505,0.8546905517578125,0.22881232,0.09094238
14569,0.9364111080899364,0.9880843944604517,0.028688998892903328,0.9888458251953125,0.10260318,0.15614319
3510,0.5633340462442601,0.7258285490605428,0.17237251996994019,0.728424072265625,0.2090056,0.11262512
15494,0.5558553093783545,0.9377864185529787,0.12968610227108002,0.72259521484375,0.25483477,0.13406372
16912,0.8048436307359836,0.9824949271631485,0.047203175723552704,0.9659271240234375,0.16799802,0.13835144
3964,0.7504734503693504,0.8064539364690629,0.08421117067337036,0.8905181884765625,0.16854143,0.15483093
16123,0.44530117429035243,0.5422910304665862,0.1887091100215912,0.71453857421875,0.24677306,0.13648987
15597,0.5083130352601155,0.6695247555811157,0.16228769719600677,0.757659912109375,0.2685055,0.08760071
2233,0.6802193655186902,0.7553379086836336,0.121790811419487,0.8440399169921875,0.1775275,0.08628845
2811,0.740242907469697,0.8503729154445655,0.10612662881612778,0.8311004638671875,0.21796045,0.1056366
14641,0.6968515279032668,0.8664816143218039,0.09990556538105011,0.8845367431640625,0.18761346,0.11714172
13914,0.6627126311050481,0.7354704514866022,0.14346438646316528,0.8252105712890625,0.16703282,0.1240387
3313,0.522349892388895,0.6187599428099639,0.18096622824668884,0.720062255859375,0.27090138,0.079711914
13273,0.6774004276170165,0.8082218451867716,0.10656128823757172,0.84490966796875,0.21504068,0.15356445
2447,0.47604754229993695,0.6721642249320116,0.14497415721416473,0.794036865234375,0.23405154,0.05734253
4195,0.5155271422516752,0.6118660769530444,0.17295238375663757,0.7286834716796875,0.23982014,0.038848877
9677,0.5441477303255806,0.6798240815701376,0.14777156710624695,0.77142333984375,0.28662217,0.056137085
12256,0.688282187228504,0.8807599755773444,0.0778653621673584,0.9301605224609375,0.21969195,0.09686279
9174,0.7180667329386359,0.7617787295943107,0.11962118744850159,0.8173065185546875,0.17630959,0.12106323
9515,0.5466117278333489,0.6077564834975316,0.16552847623825073,0.7204437255859375,0.24520148,0.08848572
5049,0.5317461187018704,0.6379688184835014,0.1745218187570572,0.7040252685546875,0.25817,0.08395386
15831,0.5706819834537635,0.6166975764624525,0.13747616112232208,0.806915283203125,0.24107648,0.08338928
13702,0.5048310190789813,0.6552049754159748,0.15080693364143372,0.7847747802734375,0.2365128,0.10543823
11230,0.5948250892069985,0.7189468330659989,0.19136938452720642,0.6941375732421875,0.22952938,0.11097717
13441,0.5270504347847382,0.6960298203045329,0.14402121305465698,0.8099212646484375,0.26883468,0.09310913
1607,0.5940600793447188,0.7004093681249826,0.15300887823104858,0.7869873046875,0.23547396,0.09313965
14737,0.6585614139698948,0.7717080036887832,0.12006674706935883,0.7994232177734375,0.22238632,0.1493988
9550,0.6739182370841331,0.9721586575133486,0.09046120941638947,0.845855712890625,0.21858755,0.19978333
6784,0.7946311287262181,0.9330242001865774,0.05852584168314934,0.9693450927734375,0.17383148,0.22735596
7735,0.8070414339289966,0.9529911884273303,0.06283875554800034,0.939544677734375,0.19743896,0.13537598
8321,0.7147179863148354,0.8236155044615457,0.08444248884916306,0.906219482421875,0.23514777,0.098480225
11021,0.673840604502976,0.8276395228979532,0.09277856349945068,0.9026336669921875,0.19233613,0.1711731
1185,0.43723796030139644,0.600099954187664,0.22218024730682373,0.5841217041015625,0.2723005,0.08174133
13266,0.5027479270340345,0.692451182727417,0.15365266799926758,0.8006134033203125,0.2680062,0.07191467
3969,0.505869473153763,0.6244599303135888,0.139664888381958,0.8210906982421875,0.27469128,0.044067383
11401,0.8059593748451546,0.9419106583458721,0.04840972647070885,0.9593048095703125,0.19398499,0.14561462
15726,0.6498794145189747,0.8257551376948187,0.08390511572360992,0.8814697265625,0.17322017,0.13404846
11936,0.7387345026292819,0.8085500798539813,0.07120353728532791,0.9499664306640625,0.20341076,0.10295105
6408,0.5857998332339642,0.6945767140027812,0.15041902661323547,0.745880126953125,0.24294606,0.0921936
7783,0.538114144672075,0.7144449753145405,0.1204598918557167,0.83917236328125,0.21721838,0.15611267
8096,0.6843688389691139,0.7915027287726869,0.09757660329341888,0.8929901123046875,0.17012423,0.1710968
16162,0.6605273906779482,0.9148613693315011,0.1400032341480255,0.7236328125,0.25000954,0.093551636
8947,0.4412167400167556,0.6385132718036775,0.13780924677848816,0.8351593017578125,0.28109127,0.042938232
12823,0.758229483475083,0.9216289685592656,0.06485367566347122,0.9101409912109375,0.21735086,0.11273193
12990,0.6359258352654948,0.8666560964008245,0.11522611230611801,0.8395843505859375,0.23714432,0.08232117
7019,0.7691120558752982,0.9018377409233528,0.07615344226360321,0.9003753662109375,0.1872382,0.13143921
6465,0.7146069621382034,0.8397585358842505,0.08054862171411514,0.9145355224609375,0.17380509,0.14753723
13480,0.4134077254909536,0.6396256606701256,0.17726647853851318,0.79736328125,0.2311138,0.09420776
1334,0.3505443027371892,0.46736115590530863,0.22182989120483398,0.6084747314453125,0.27810323,0.063827515
11152,0.7563743168226413,0.8549899610251565,0.08511587232351303,0.9019775390625,0.1938369,0.06442261
11953,0.8760762546701388,0.9727988127550722,0.04303388297557831,0.9699859619140625,0.14084753,0.24598694
14445,0.8421249793995385,0.9598916196000611,0.05764025077223778,0.9578399658203125,0.19276515,0.11280823
1497,0.7265751389459868,0.9445249550750681,0.08473357558250427,0.9044036865234375,0.20378147,0.10636902
4830,0.6212855645930997,0.7380422283659139,0.1320052295923233,0.7865447998046875,0.2515158,0.07525635
1701,0.5855697971755123,0.7053065008726004,0.1344478279352188,0.783355712890625,0.23691711,0.080566406
16950,0.4520239278312823,0.7341025749798499,0.2153644859790802,0.6217041015625,0.2406397,0.049194336
13234,0.4862618869903219,0.5899605436212187,0.19417861104011536,0.6998748779296875,0.26034573,0.079055786
765,0.5136625218875884,0.6877381472921482,0.2008192092180252,0.6864776611328125,0.22550133,0.08816528
14958,0.8874752671245176,0.9705459770114943,0.02919843979179859,0.99169921875,0.1530737,0.11427307
12230,0.5778090648423124,0.7131143516472725,0.1360785961151123,0.808837890625,0.26011252,0.09562683
7619,0.749713541819798,0.9202313104110561,0.0854451060295105,0.8928680419921875,0.21046382,0.18118286
14979,0.6471686667633181,0.7671122406588304,0.11062321811914444,0.856353759765625,0.24895142,0.09402466
3399,0.6489076385269967,0.8909422020539766,0.1041189506649971,0.8813934326171875,0.2494722,0.107788086
6357,0.44498794280553516,0.5392332875699651,0.20236504077911377,0.705902099609375,0.24797712,0.056228638
1113,0.5675609051783015,0.7994167082389961,0.1355479657649994,0.795196533203125,0.24754448,0.091812134
1641,0.680110422917941,0.761360178517091,0.11956628412008286,0.8311767578125,0.17404577,0.11491394
8724,0.5201310759733476,0.7082812924246538,0.19230425357818604,0.69036865234375,0.260038,0.047042847
17003,0.6457378528628205,0.7680633026332858,0.12898854911327362,0.828216552734375,0.23838636,0.06121826
7645,0.5483302881345817,0.6813439169287604,0.1417228877544403,0.78179931640625,0.26172957,0.0519104
5467,0.5914735131778838,0.7131799225945816,0.16369685530662537,0.7489776611328125,0.19993368,0.07270813
14089,0.5518132877856942,0.60558141767049,0.18293829262256622,0.731964111328125,0.23103297,0.040634155
11026,0.39170368083411,0.5579913680893335,0.19186446070671082,0.691802978515625,0.2691279,0.045410156
11839,0.2958843481982235,0.46516956920256647,0.22886158525943756,0.6495819091796875,0.26945192,0.056243896
8210,0.4520101123213084,0.6399545728785889,0.17762768268585205,0.7291717529296875,0.27268848,0.045913696
13631,0.7819449378478063,0.9675147390495786,0.06775403767824173,0.934295654296875,0.23264423,0.10420227
7182,0.6813182917747883,0.7339163431761678,0.13019847869873047,0.822357177734375,0.22583649,0.12437439
6190,0.7596520758470163,0.8657398261556697,0.06099601835012436,0.9416656494140625,0.21817939,0.06402588
13016,0.6008671582564477,0.668203609270512,0.13160385191440582,0.8166351318359375,0.19526677,0.1423645
2272,0.6871355637175256,0.7796075173917558,0.11388376355171204,0.830291748046875,0.23950444,0.11729431
12007,0.6073221675320847,0.7424579761772236,0.1388423591852188,0.8049468994140625,0.24503893,0.07582092
5776,0.6218557435052987,0.759888913908279,0.16006790101528168,0.73223876953125,0.19817282,0.20045471
1554,0.6952776633107174,0.96156202143951,0.09658749401569366,0.884918212890625,0.20509323,0.1299591
9875,0.700855035515418,0.9331194055058267,0.08218226581811905,0.9318084716796875,0.23833555,0.10171509
7852,0.6222474875329909,0.8974627256081611,0.12224594503641129,0.8491058349609375,0.21248464,0.10081482
14571,0.9199450988406659,0.9948164387633769,0.034015003591775894,0.9862213134765625,0.1276075,0.21276855
